Team,Tournament,Goals,Shots pg,yellow_cards,red_cards,Possession%,Pass%,AerialsWon,Rating
Juventus,Serie A,77,15.7,76,6,55.4,88.3,11.4,6.85
Atalanta,Serie A,90,16.3,66,3,53.5,83.5,16.8,6.84
AC Milan,Serie A,74,14.7,80,4,51.4,84.0,15.2,6.82
Napoli,Serie A,86,17.0,71,3,54.1,87.0,11.1,6.81
Inter,Serie A,89,14.5,59,2,52.0,87.0,11.8,6.8
Roma,Serie A,68,14.3,84,3,51.5,84.5,12.1,6.71
Sassuolo,Serie A,64,13.9,74,4,58.2,87.8,10.9,6.67
Sampdoria,Serie A,52,11.3,81,3,46.1,78.5,16.8,6.63
Lazio,Serie A,61,13.8,100,5,52.2,83.8,14.6,6.62
Torino,Serie A,50,12.2,72,4,48.0,80.5,16.1,6.59
Verona,Serie A,43,10.6,91,1,49.6,76.3,20.6,6.59
Cagliari,Serie A,43,11.4,73,3,45.8,79.8,17.2,6.58
Bologna,Serie A,51,13.1,78,4,50.7,81.5,15.1,6.56
Udinese,Serie A,42,10.9,63,2,47.2,82.5,13.1,6.55
Genoa,Serie A,47,9.0,85,2,46.1,79.7,13.7,6.54
Fiorentina,Serie A,47,9.8,86,5,46.8,81.0,14.2,6.52
Spezia,Serie A,52,10.2,92,5,51.6,81.1,14.4,6.5
Parma Calcio 1913,Serie A,39,10.4,91,1,48.4,82.5,16.9,6.49
Crotone,Serie A,45,9.5,85,4,47.2,80.4,12.7,6.43
Benevento,Serie A,40,11.0,90,5,44.2,77.7,13.4,6.43
